date,event_name,winner_side,team1_name,team2_name,team1_score,team2_score,match_url,map1_team1_startside,map1_team2_startside,map1_round1_winner,map1_round2_winner,map1_round3_winner,map1_round4_winner,map1_round5_winner,map1_round6_winner,map1_round7_winner,map1_round8_winner,map1_round9_winner,map1_round10_winner,map1_round11_winner,map1_round12_winner,map1_round13_winner,map1_round14_winner,map1_round15_winner,map1_round16_winner,map1_round17_winner,map1_round18_winner,map1_round19_winner,map1_round20_winner,map1_round21_winner,map1_round22_winner,map1_round23_winner,map1_round24_winner,map2_team1_startside,map2_team2_startside,map2_round1_winner,map2_round2_winner,map2_round3_winner,map2_round4_winner,map2_round5_winner,map2_round6_winner,map2_round7_winner,map2_round8_winner,map2_round9_winner,map2_round10_winner,map2_round11_winner,map2_round12_winner,map2_round13_winner,map2_round14_winner,map2_round15_winner,map2_round16_winner,map2_round17_winner,map2_round18_winner,map2_round19_winner,map2_round20_winner,map2_round21_winner,map2_round22_winner,map2_round23_winner,map2_round24_winner,map3_team1_startside,map3_team2_startside,map3_round1_winner,map3_round2_winner,map3_round3_winner,map3_round4_winner,map3_round5_winner,map3_round6_winner,map3_round7_winner,map3_round8_winner,map3_round9_winner,map3_round10_winner,map3_round11_winner,map3_round12_winner,map3_round13_winner,map3_round14_winner,map3_round15_winner,map3_round16_winner,map3_round17_winner,map3_round18_winner,map3_round19_winner,map3_round20_winner,map3_round21_winner,map3_round22_winner,map3_round23_winner,map3_round24_winner
2025-10-02T07:00:00Z,CCT Season 3 Europe Series 8,team2,ex-SENZA,Mousquetaires,0.0,1.0,https://www.hltv.org/matches/2386268/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T04:00:00Z,United21 League Season 38,team2,fish123,WOPA,1.0,2.0,https://www.hltv.org/matches/2386136/-,t,ct,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team2,team2,team1,team2,ct,t,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2
2025-10-02T04:00:00Z,NODWIN Clutch Series 1 Closed Qualifier,team2,KHAN,UNiTY,1.0,2.0,https://www.hltv.org/matches/2386236/-,ct,t,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team1,team2,team1,team2,team2,team2,team1,team2,team1,team1,team1,team1,team2,team1,t,ct,team2,team2,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2
2025-10-02T06:43:07Z,Exort The Proving Grounds Season 5,team2,Betera,ARCRED,0.0,1.0,https://www.hltv.org/matches/2386352/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T04:00:00Z,Exort The Proving Grounds Season 5,team2,Oramond,Sangal,0.0,2.0,https://www.hltv.org/matches/2386351/-,ct,t,team2,team2,team1,team2,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team1,team1,team1,t,ct,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2,team1,team2,team1,team1,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T04:00:00Z,CCT Season 3 Europe Series 8,team1,Tricked,Dziuseppe,2.0,0.0,https://www.hltv.org/matches/2386267/-,ct,t,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,t,ct,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-02T02:00:00Z,ESN Fall Showdown 2025,team1,The Huns,NomadS,2.0,1.0,https://www.hltv.org/matches/2386366/-,ct,t,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team1,team2,team2,t,ct,team1,team1,team2,team1,team2,team1,team1,team2,team2,team2,team1,team1,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team2,team2,t,ct,team2,team2,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team1,team1,team2,team2,team2,team1
2025-10-01T23:00:00Z,ESN Fall Showdown 2025,team2,The QUBE,Chinggis Warriors,0.0,2.0,https://www.hltv.org/matches/2386365/-,t,ct,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team2,team1,team1,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01T21:00:00Z,CCT Season 3 North America Series 2,team2,Shimmer,FULL SEND,1.0,2.0,https://www.hltv.org/matches/2386289/-,t,ct,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,ct,t,team2,team2,team1,team2,team2,team1,team2,team1,team2,team2,team2,team2,team1,team1,team2,team1,team1,team1,team2,team1,team1,team2,team2,team2,ct,t,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2
2025-10-01T19:30:00Z,ESL Impact League Season 8 North America,team2,Lotus fe,Nocturnal,1.0,2.0,https://www.hltv.org/matches/2386166/-,t,ct,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team1,team1,team2,ct,t,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team1,team1,team2,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,team2
