match_url,map1_name,map2_name,map3_name
https://www.hltv.org/matches/2386774/-,Nuke,,
https://www.hltv.org/matches/2386562/-,Inferno,Overpass,Mirage
https://www.hltv.org/matches/2386339/-,Overpass,Dust2,Mirage
https://www.hltv.org/matches/2386672/-,Inferno,Mirage,Overpass
https://www.hltv.org/matches/2386560/-,Ancient,Nuke,Mirage
https://www.hltv.org/matches/2386558/-,Dust2,Ancient,Nuke
https://www.hltv.org/matches/2386556/-,Nuke,Mirage,Inferno
https://www.hltv.org/matches/2386728/-,Ancient,Mirage,Nuke
https://www.hltv.org/matches/2386769/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386423/-,Nuke,Train,Ancient
https://www.hltv.org/matches/2386810/-,Dust2,Ancient,Mirage
https://www.hltv.org/matches/2385965/-,Nuke,Mirage,Dust2
https://www.hltv.org/matches/2386557/-,Train,Ancient,
https://www.hltv.org/matches/2386422/-,Nuke,Overpass,Ancient
https://www.hltv.org/matches/2386727/-,Ancient,Inferno,Overpass
https://www.hltv.org/matches/2386338/-,Dust2,Nuke,Ancient
https://www.hltv.org/matches/2386211/-,Nuke,Ancient,Dust2
https://www.hltv.org/matches/2386684/-,Overpass,Dust2,Train
https://www.hltv.org/matches/2386673/-,Inferno,Nuke,Overpass
https://www.hltv.org/matches/2385964/-,Ancient,Inferno,Train
https://www.hltv.org/matches/2386768/-,Dust2,Inferno,Train
https://www.hltv.org/matches/2386685/-,,,
https://www.hltv.org/matches/2386337/-,Nuke,Inferno,Ancient
https://www.hltv.org/matches/2386726/-,Mirage,Ancient,Overpass
https://www.hltv.org/matches/2386421/-,Inferno,Nuke,Ancient
https://www.hltv.org/matches/2386785/-,Overpass,Train,Inferno
https://www.hltv.org/matches/2385963/-,Inferno,Ancient,Nuke
https://www.hltv.org/matches/2386420/-,Ancient,Inferno,Train
https://www.hltv.org/matches/2386336/-,Ancient,Inferno,Mirage
https://www.hltv.org/matches/2386725/-,Mirage,Nuke,Ancient
https://www.hltv.org/matches/2386784/-,Nuke,Overpass,Ancient
https://www.hltv.org/matches/2386625/-,Inferno,Ancient,Train
https://www.hltv.org/matches/2386626/-,Overpass,Nuke,Dust2
https://www.hltv.org/matches/2386623/-,Mirage,Ancient,Dust2
https://www.hltv.org/matches/2386300/-,Mirage,Train,Nuke
https://www.hltv.org/matches/2386301/-,Ancient,Dust2,Overpass
https://www.hltv.org/matches/2386624/-,Overpass,Train,
https://www.hltv.org/matches/2386594/-,Nuke,Dust2,Mirage
https://www.hltv.org/matches/2386683/-,Dust2,Nuke,
